hall_name,bench,seat_no,class,reg_no
BlockB-201,49,1,CSE3A,3A2021015
BlockB-201,49,2,CSE3B,3B2022076
BlockB-201,49,3,CSE4A,4A2021009
BlockB-201,50,1,CSE3A,3A2022031
BlockB-201,50,2,CSE3B,3B2021012
BlockB-201,50,3,CSE4A,4A2021030
BlockC-101,51,1,CSE3A,3A2022094
BlockC-101,51,2,CSE3B,3B2021039
BlockC-101,51,3,CSE4A,4A2023011
BlockC-101,52,1,CSE3A,3A2021081
BlockC-101,52,2,CSE3B,3B2023002
BlockC-101,53,1,CSE3A,3A2023008
BlockC-101,53,2,CSE3B,3B2022028
BlockC-101,54,1,CSE3A,3A2021036
BlockC-101,54,2,CSE3B,3B2023071
BlockC-101,55,1,CSE3A,3A2021090
BlockC-101,55,2,CSE3B,3B2021099
BlockC-101,56,1,CSE3A,3A2021033
BlockC-101,56,2,CSE3B,3B2022064
BlockC-101,57,1,CSE3A,3A2023014
BlockC-101,57,2,CSE3B,3B2021021
BlockC-101,58,1,CSE3A,3A2021006
BlockC-101,58,2,CSE3B,3B2022037
BlockC-101,59,1,CSE3A,3A2023047
BlockC-101,59,2,CSE3B,3B2022046
BlockC-101,60,1,CSE3A,3A2023038
BlockC-101,60,2,CSE3B,3B2023035
BlockC-101,61,1,CSE3A,3A2022058
BlockC-101,61,2,CSE3B,3B2023014
BlockC-101,62,1,CSE3A,3A2022049
BlockC-101,62,2,CSE3B,3B2023026
BlockC-101,63,1,CSE3A,3A2022061
BlockC-101,63,2,CSE3B,3B2022073
BlockC-101,64,1,CSE3A,3A2021057
BlockC-101,64,2,CSE3B,3B2022067
BlockC-101,65,1,CSE3A,3A2021087
BlockC-101,65,2,CSE3B,3B2022013
