id,subject,unit,topic,question_text,question_type,difficulty,marks
66,DBMS,Unit 4,Recovery System,Describe log-based recovery shadow paging and checkpoint mechanisms in detail.,Long Answer,Hard,6
67,DBMS,Unit 4,Database Security,Explain database security mechanisms authorization access control and encryption techniques.,Long Answer,Hard,6
68,DBMS,Unit 4,Triggers,What are triggers? Explain their types syntax and applications with examples.,Long Answer,Hard,6
69,DBMS,Unit 5,Case Study,Design a complete student management system including ER diagram normalization up to 3NF and SQL queries for CREATE INSERT UPDATE DELETE and SELECT operations.,Case Study,Medium,10
70,DBMS,Unit 5,Case Study,Design a library management system with book member issue return and fine modules including complete ER model normalization and 10 different SQL queries covering all CRUD operations.,Case Study,Medium,10
71,DBMS,Unit 5,Case Study,Design a hospital management database system with patient doctor appointment and billing modules including complete ER diagram normalized tables and SQL queries for various operations.,Case Study,Medium,10
72,DBMS,Unit 5,Case Study,Design an online banking system database including account transaction customer and loan modules with ER diagram normalized schema and queries for deposits withdrawals and balance inquiry.,Case Study,Hard,10
73,DBMS,Unit 5,Case Study,Design an e-commerce database system with customer product order payment and shipping modules including ER diagram complete normalization and SQL queries for product search cart management and order tracking.,Case Study,Hard,10
74,DBMS,Unit 5,Case Study,Design a college management database with student faculty course department and attendance modules including ER diagram normalization and queries for attendance reports grade calculation and student enrollment.,Case Study,Medium,10
75,DBMS,Unit 5,Case Study,Design an airline reservation system database with flight passenger booking and payment modules including complete ER diagram normalized tables and SQL queries for seat availability booking confirmation and cancellation.,Case Study,Hard,10
