id,subject,unit,topic,question_text,question_type,difficulty,marks
47,Full Stack Web Development,Unit 2,Advanced CSS,Explain CSS animations transitions transforms pseudo-classes and modern CSS features with examples.,Long Answer,Hard,6
48,Full Stack Web Development,Unit 3,JavaScript Programming,Explain JavaScript fundamentals variables data types operators control structures functions arrays objects with examples.,Long Answer,Easy,6
49,Full Stack Web Development,Unit 3,DOM and Events,Describe DOM structure manipulation event handling event delegation form validation with complete examples.,Long Answer,Medium,6
50,Full Stack Web Development,Unit 3,ES6 Features,Explain ES6 features arrow functions destructuring spread operator template literals modules classes with code examples.,Long Answer,Medium,6
51,Full Stack Web Development,Unit 3,Asynchronous JS,Describe callbacks promises async-await error handling fetch API with practical implementation examples.,Long Answer,Hard,6
52,Full Stack Web Development,Unit 3,JavaScript Patterns,Explain design patterns module pattern constructor pattern prototype pattern singleton with use cases.,Long Answer,Hard,6
53,Full Stack Web Development,Unit 4,React Development,Explain React fundamentals components JSX props state lifecycle methods with complete component examples.,Long Answer,Medium,6
54,Full Stack Web Development,Unit 4,React Hooks,Describe React hooks useState useEffect useContext useReducer custom hooks with practical examples.,Long Answer,Medium,6
55,Full Stack Web Development,Unit 4,State Management,Explain Redux architecture actions reducers store middleware with React integration and example application.,Long Answer,Hard,6
56,Full Stack Web Development,Unit 4,React Router,Describe React Router navigation routing nested routes protected routes with SPA implementation.,Long Answer,Hard,6
57,Full Stack Web Development,Unit 5,Node.js Backend,Explain Node.js architecture event loop modules Express.js routing middleware with server implementation.,Long Answer,Medium,6
58,Full Stack Web Development,Unit 5,REST API,Describe REST API design HTTP methods status codes CRUD operations authentication with Express implementation.,Long Answer,Medium,6
59,Full Stack Web Development,Unit 5,Database Integration,Explain MongoDB schema design Mongoose ODM CRUD operations queries aggregation with Node.js integration.,Long Answer,Hard,6
60,Full Stack Web Development,Unit 5,Authentication,Describe JWT authentication bcrypt password hashing sessions cookies authorization with implementation.,Long Answer,Hard,6
61,Full Stack Web Development,Unit 5,MERN Stack,Explain MERN stack architecture MongoDB Express React Node integration deployment with complete workflow.,Long Answer,Medium,6
62,Full Stack Web Development,Unit 5,API Testing,Describe API testing tools Postman testing strategies error handling validation with examples.,Long Answer,Medium,6
63,Full Stack Web Development,Unit 5,Security,Explain web security CORS CSRF XSS SQL injection input validation secure coding practices.,Long Answer,Hard,6
64,Full Stack Web Development,Unit 5,Deployment,Describe deployment process hosting platforms Heroku AWS Netlify CI/CD Git version control.,Long Answer,Medium,6
65,Full Stack Web Development,Unit 5,Performance,Explain performance optimization lazy loading code splitting caching image optimization with best practices.,Long Answer,Hard,6
66,Full Stack Web Development,Unit 5,WebSockets,Describe real-time communication WebSockets Socket.io chat applications with implementation examples.,Long Answer,Hard,6
67,Full Stack Web Development,Unit 5,GraphQL,Explain GraphQL API design queries mutations schema with comparison to REST.,Long Answer,Hard,6
68,Full Stack Web Development,Unit 5,Testing,Describe unit testing integration testing Jest React Testing Library with test case examples.,Long Answer,Medium,6
69,Full Stack Web Development,Unit 5,Case Study,Develop a complete e-commerce website with product listing shopping cart user authentication payment integration using React Node.js MongoDB with responsive design REST API and deployment.,Case Study,Medium,10
70,Full Stack Web Development,Unit 5,Case Study,Build a social media application with user profiles post creation like comment follow features real-time notifications using MERN stack WebSockets with complete frontend backend and database design.,Case Study,Hard,10
71,Full Stack Web Development,Unit 5,Case Study,Create a task management application with user authentication task CRUD operations priority status filtering dashboard using React Redux Node.js MongoDB with responsive UI and REST API.,Case Study,Medium,10
72,Full Stack Web Development,Unit 5,Case Study,Implement a blog platform with content management user roles rich text editor image upload comments authentication using MERN stack with SEO optimization and admin panel.,Case Study,Hard,10
73,Full Stack Web Development,Unit 5,Case Study,Develop a real-time chat application with user authentication private and group chats message history file sharing using React Node.js Socket.io MongoDB with responsive design.,Case Study,Hard,10
74,Full Stack Web Development,Unit 5,Case Study,Build a restaurant booking system with menu display table reservation order management payment integration admin dashboard using full stack technologies with email notifications.,Case Study,Hard,10
75,Full Stack Web Development,Unit 5,Case Study,Create a portfolio website with dynamic content management contact form project showcase blog section admin panel using React Node.js MongoDB with responsive design and deployment.,Case Study,Medium,10
