id,subject,unit,topic,question_text,question_type,difficulty,marks
57,Operating Systems,Unit 4,Banker's Algorithm,Describe Banker's algorithm safety algorithm resource request algorithm with complete example.,Long Answer,Hard,6
58,Operating Systems,Unit 4,Semaphores Implementation,Explain semaphore operations wait signal implementation producer-consumer problem with code.,Long Answer,Medium,6
59,Operating Systems,Unit 4,Classical Problems,Describe dining philosophers readers-writers and sleeping barber problems with solutions.,Long Answer,Hard,6
60,Operating Systems,Unit 4,Mutex and Locks,Explain mutex locks spinlocks reader-writer locks and their implementations.,Long Answer,Hard,6
61,Operating Systems,Unit 5,Memory Management,Explain contiguous memory allocation fixed partitioning variable partitioning and fragmentation.,Long Answer,Medium,6
62,Operating Systems,Unit 5,Paging,Describe paging page table structure TLB and address translation with examples.,Long Answer,Medium,6
63,Operating Systems,Unit 5,Segmentation,Explain segmentation segmentation with paging and comparison with pure paging.,Long Answer,Hard,6
64,Operating Systems,Unit 5,Virtual Memory,Describe virtual memory demand paging page replacement algorithms FIFO LRU optimal.,Long Answer,Medium,6
65,Operating Systems,Unit 5,Page Replacement,Explain LRU approximation algorithms second chance and enhanced second chance algorithms.,Long Answer,Hard,6
66,Operating Systems,Unit 5,Thrashing,Explain thrashing working set model and page fault frequency approach.,Long Answer,Hard,6
67,Operating Systems,Unit 5,File Systems,Describe file system structure directory implementation allocation methods contiguous linked indexed.,Long Answer,Medium,6
68,Operating Systems,Unit 5,Disk Scheduling,Explain FCFS SSTF SCAN C-SCAN LOOK disk scheduling algorithms with examples.,Long Answer,Medium,6
69,Operating Systems,Unit 5,Case Study,Design a complete process scheduler implementing multiple scheduling algorithms FCFS SJF Round Robin Priority with performance comparison Gantt charts average waiting time turnaround time and CPU utilization analysis.,Case Study,Medium,10
70,Operating Systems,Unit 5,Case Study,Implement a memory management system with paging virtual memory page replacement algorithms including page table management TLB simulation and performance evaluation with different workloads.,Case Study,Medium,10
71,Operating Systems,Unit 5,Case Study,Develop a deadlock detection and recovery system using resource allocation graphs Banker's algorithm implementation safe state checking with complete algorithm design test cases and analysis.,Case Study,Hard,10
72,Operating Systems,Unit 5,Case Study,Design a file system with directory structure file allocation methods free space management disk scheduling and file operations including complete implementation performance analysis and optimization techniques.,Case Study,Hard,10
73,Operating Systems,Unit 5,Case Study,Implement producer-consumer problem using semaphores threads synchronization mechanisms with multiple producers and consumers including code implementation race condition handling and performance testing.,Case Study,Medium,10
74,Operating Systems,Unit 5,Case Study,Create a shell program with command execution process creation I/O redirection piping background processes signal handling with complete implementation user interface and testing documentation.,Case Study,Hard,10
75,Operating Systems,Unit 5,Case Study,Design a multi-threaded web server with thread pool management request handling concurrent connections load balancing and performance optimization including architecture design implementation and benchmarking results.,Case Study,Hard,10
