id,subject,unit,topic,question_text,question_type,difficulty,marks
70,Computer Networks,Unit 5,Case Study,Design a college campus network with multiple buildings including LAN design inter-building connectivity VLAN configuration IP addressing DNS and DHCP setup with complete network diagram and device specifications.,Case Study,Medium,10
71,Computer Networks,Unit 5,Case Study,Implement a client-server application using socket programming for file transfer including TCP connection establishment error handling and flow control with complete code design and protocol specification.,Case Study,Hard,10
72,Computer Networks,Unit 5,Case Study,Design a secure e-commerce website network architecture including web servers database servers load balancing firewall configuration SSL implementation and backup systems with security analysis.,Case Study,Hard,10
73,Computer Networks,Unit 5,Case Study,Analyze network performance issues in a corporate network and propose solutions including troubleshooting methodology protocol analysis bandwidth optimization and quality of service implementation.,Case Study,Hard,10
74,Computer Networks,Unit 5,Case Study,Design a wireless network for a university campus including access point placement frequency planning roaming support security implementation and bandwidth management with coverage analysis.,Case Study,Medium,10
75,Computer Networks,Unit 5,Case Study,Implement a VPN solution for remote office connectivity including topology design routing protocols security configuration and performance optimization with complete implementation plan.,Case Study,Hard,10
76,Computer Networks,Unit 1,Protocol,What is a protocol? Explain the key elements of a protocol.,Short Answer,Easy,4
77,Computer Networks,Unit 2,Error Control,What is ARQ? Explain its types.,Short Answer,Medium,4
78,Computer Networks,Unit 3,ARP,What is ARP? Explain the ARP process.,Short Answer,Medium,4
79,Computer Networks,Unit 4,Socket,Differentiate between stream sockets and datagram sockets.,Short Answer,Medium,4
80,Computer Networks,Unit 5,HTTP,Differentiate between HTTP and HTTPS.,Short Answer,Easy,4
