id,subject,unit,topic,question_text,question_type,difficulty,marks
47,Internet of Things,Unit 2,Arduino Programming,Describe Arduino IDE programming structure digital and analog I/O serial communication with code examples.,Long Answer,Medium,6
48,Internet of Things,Unit 2,Raspberry Pi Projects,Explain Raspberry Pi setup GPIO programming Python scripting camera module and IoT project implementation.,Long Answer,Hard,6
49,Internet of Things,Unit 2,Embedded Systems,Describe embedded systems for IoT real-time operating systems microcontroller selection and system design.,Long Answer,Hard,6
50,Internet of Things,Unit 2,Wireless Sensor Networks,Explain WSN architecture node deployment routing protocols energy efficiency and data aggregation.,Long Answer,Medium,6
51,Internet of Things,Unit 3,MQTT Protocol,Explain MQTT architecture publish-subscribe model QoS levels broker configuration with implementation examples.,Long Answer,Medium,6
52,Internet of Things,Unit 3,Communication Protocols,Compare HTTP MQTT CoAP WebSocket protocols for IoT with advantages disadvantages and use cases.,Long Answer,Medium,6
53,Internet of Things,Unit 3,Wireless Technologies,Describe WiFi Bluetooth Zigbee LoRa comparison range power consumption data rate and applications.,Long Answer,Hard,6
54,Internet of Things,Unit 3,LPWAN Technologies,Explain Low Power Wide Area Networks LoRaWAN NB-IoT Sigfox architecture coverage and use cases.,Long Answer,Hard,6
55,Internet of Things,Unit 3,Network Topologies,Describe star mesh tree network topologies for IoT with advantages and protocol examples.,Long Answer,Medium,6
56,Internet of Things,Unit 4,IoT Security Framework,Explain end-to-end IoT security including device security network security data security and application security.,Long Answer,Medium,6
57,Internet of Things,Unit 4,Cryptography in IoT,Describe symmetric and asymmetric encryption hashing digital signatures and lightweight cryptography for IoT.,Long Answer,Medium,6
58,Internet of Things,Unit 4,Threat Analysis,Explain IoT threat landscape attack vectors Mirai botnet DDoS attacks and mitigation strategies.,Long Answer,Hard,6
59,Internet of Things,Unit 4,Secure Communication,Describe TLS/SSL implementation secure protocols certificate management and key distribution in IoT.,Long Answer,Hard,6
60,Internet of Things,Unit 4,Privacy Protection,Explain data privacy techniques anonymization differential privacy and GDPR compliance in IoT.,Long Answer,Medium,6
61,Internet of Things,Unit 5,Cloud IoT Platforms,Explain AWS IoT Azure IoT Google Cloud IoT platforms with device management data storage and analytics.,Long Answer,Medium,6
62,Internet of Things,Unit 5,Edge Computing,Describe edge computing architecture fog computing data processing at edge and latency reduction.,Long Answer,Medium,6
63,Internet of Things,Unit 5,IoT Data Analytics,Explain data collection processing real-time analytics machine learning and predictive analytics for IoT.,Long Answer,Hard,6
64,Internet of Things,Unit 5,IoT and AI,Describe integration of artificial intelligence with IoT intelligent systems and autonomous decision making.,Long Answer,Hard,6
65,Internet of Things,Unit 5,Blockchain IoT,Explain blockchain technology for IoT security decentralization smart contracts and supply chain applications.,Long Answer,Hard,6
66,Internet of Things,Unit 5,IoT Platforms,Compare ThingSpeak Blynk Cayenne IoT platforms with features connectivity and project implementation.,Long Answer,Medium,6
67,Internet of Things,Unit 5,5G and IoT,Explain impact of 5G on IoT massive IoT applications ultra-reliable low-latency communication.,Long Answer,Hard,6
68,Internet of Things,Unit 5,Digital Twin,Describe digital twin technology simulation modeling and IoT integration for predictive maintenance.,Long Answer,Medium,6
69,Internet of Things,Unit 5,Case Study,Design a complete smart home automation system using IoT including sensor integration Arduino/Raspberry Pi programming MQTT communication mobile app control with circuit diagrams code and system architecture.,Case Study,Medium,10
70,Internet of Things,Unit 5,Case Study,Implement a real-time environmental monitoring system using multiple sensors cloud connectivity data visualization alert mechanisms with hardware setup code implementation dashboard design and data analysis.,Case Study,Medium,10
71,Internet of Things,Unit 5,Case Study,Develop a smart agriculture system with soil moisture monitoring automated irrigation weather prediction using IoT sensors wireless communication and cloud analytics with complete implementation and field testing.,Case Study,Hard,10
72,Internet of Things,Unit 5,Case Study,Create an industrial predictive maintenance system using vibration sensors temperature monitoring edge computing machine learning with data collection analysis fault prediction and alert system.,Case Study,Hard,10
73,Internet of Things,Unit 5,Case Study,Build a smart parking system using ultrasonic sensors real-time availability display mobile app integration payment gateway with hardware implementation server backend and user interface design.,Case Study,Medium,10
74,Internet of Things,Unit 5,Case Study,Design a healthcare patient monitoring system with wearable sensors vital sign tracking cloud storage doctor dashboard emergency alerts with complete architecture security implementation and compliance.,Case Study,Hard,10
75,Internet of Things,Unit 5,Case Study,Implement a smart energy management system with current sensors power monitoring load scheduling cost optimization using IoT devices analytics and control algorithms with prototype development and testing.,Case Study,Hard,10
